Clade,Type,Host_Family,Host_Genus,Host_Sci_Name,Ocean,Region,host_tol,symb_ID,host_ID,T_MMM_05
A,A3,Acroporidae,Acropora,Acropora cervicornis,Caribbean,Central_Caribbean,0.681,773,16,29.94
A,A3,Acroporidae,Acropora,Acropora palmata,Caribbean,Central_Caribbean,0.742,773,81,29.94
A,A3,Astrocoeniidae,Stephanocoenia,Stephanocoenia intersepta,Caribbean,Central_Caribbean,0.812,773,699,29.94
A,A4,Poritidae,Porites,Porites astreoides,Caribbean,Central_Caribbean,0.840,787,607,29.94
A,A4,Poritidae,Porites,Porites astreoides,Caribbean,Central_Caribbean,0.840,787,607,29.94
A,A4.1,Poritidae,Porites,Porites astreoides,Caribbean,Central_Caribbean,0.840,798,607,29.94
A,A4.2,Poritidae,Porites,Porites astreoides,Caribbean,Central_Caribbean,0.840,799,607,29.94
A,A4.3,Poritidae,Porites,Porites astreoides,Caribbean,Central_Caribbean,0.840,800,607,29.94
A,A4a,Poritidae,Porites,Porites astreoides,Caribbean,Central_Caribbean,0.840,774,607,29.94
A,A4a,Poritidae,Porites,Porites astreoides,Caribbean,Central_Caribbean,0.840,774,607,29.94
B,B1,Acroporidae,Acropora,Acropora cervicornis,Caribbean,Central_Caribbean,0.681,754,16,29.94
B,B1,Faviidae,Colpophyllia,Colpophyllia natans,Caribbean,Central_Caribbean,0.820,754,154,29.94
B,B1,Meandrinidae,Dichocoenia,Dichocoenia stokesi,Caribbean,Central_Caribbean,0.898,754,188,29.94
B,B1,Faviidae,Diploria,Diploria strigosa,Caribbean,Central_Caribbean,0.824,754,208,29.94
B,B1,Meandrinidae,Eusmilia,Eusmilia fastigiata,Caribbean,Central_Caribbean,0.859,754,239,29.94
B,B1,Pocilloporidae,Madracis,Madracis formosa,Caribbean,Central_Caribbean,0.973,754,384,29.94
B,B1,Meandrinidae,Meandrina,Meandrina meandrites,Caribbean,Central_Caribbean,0.836,754,402,29.94
B,B1,Faviidae,Montastraea,Montastraea annularis,Caribbean,Central_Caribbean,0.811,754,411,29.94
B,B1,Faviidae,Montastraea,Montastraea annularis,Caribbean,Central_Caribbean,0.811,754,411,29.94
B,B1,Faviidae,Montastraea,Montastraea faveolata,Caribbean,Central_Caribbean,0.780,754,424,29.94
