Symbiont Index,Host Index,T_MMM_05_degC
773,16,29.94
773,81,29.94
773,699,29.94
787,607,29.94
798,607,29.94
799,607,29.94
800,607,29.94
774,607,29.94
754,16,29.94
754,154,29.94
754,188,29.94
754,208,29.94
754,239,29.94
754,384,29.94
754,402,29.94
754,411,29.94
754,424,29.94
754,429,29.94
754,694,29.94
802,395,29.94
803,395,29.94
763,689,29.94
763,694,29.94
811,689,29.94
811,694,29.94
812,154,29.94
813,382,29.94
813,395,29.94
814,154,29.94
750,154,29.94
750,411,29.94
750,429,29.94
750,618,29.94
750,694,29.94
823,641,29.94
830,675,29.94
767,102,29.94
767,411,29.94
767,424,29.94
767,429,29.94
767,432,29.94
856,701,29.94
857,701,29.94
772,641,29.94
762,154,29.94
762,157,29.94
762,204,29.94
762,411,29.94
762,415,29.94
762,694,29.94
924,154,29.94
924,157,29.94
924,204,29.94
935,618,29.94
936,618,29.94
938,641,29.94
939,689,29.94
939,695,29.94
943,204,29.94
944,492,29.94
947,248,29.94
948,248,29.94
741,411,29.94
741,424,29.94
741,429,29.94
963,351,29.94
964,349,29.94
786,411,29.94
786,424,29.94
786,429,29.94
786,694,29.94
748,411,29.94
748,424,29.94
748,429,29.94
748,694,29.94
773,80,29.63
773,685,29.63
773,698,29.63
787,604,29.63
787,639,29.63
774,604,29.63
801,639,29.63
754,122,29.63
754,125,29.63
754,128,29.63
754,151,29.63
754,182,29.63
754,185,29.63
754,195,29.63
754,198,29.63
754,205,29.63
754,238,29.63
754,244,29.63
754,400,29.63
754,408,29.63
754,425,29.63
754,604,29.63
754,685,29.63
802,387,29.63
802,392,29.63
804,385,29.63
804,389,29.63
738,408,29.63
738,425,29.63
806,182,29.63
809,205,29.63
763,685,29.63
813,380,29.63
813,381,29.63
813,385,29.63
813,387,29.63
813,389,29.63
813,391,29.63
813,392,29.63
750,604,29.63
823,649,29.63
829,649,29.63
830,473,29.63
830,475,29.63
830,490,29.63
834,649,29.63
835,649,29.63
862,604,29.63
868,604,29.63
762,122,29.63
762,125,29.63
762,128,29.63
762,131,29.63
762,198,29.63
762,205,29.63
762,244,29.63
762,362,29.63
762,414,29.63
762,604,29.63
762,677,29.63
762,685,29.63
762,693,29.63
762,698,29.63
907,198,29.63
912,104,29.63
913,104,29.63
916,122,29.63
916,128,29.63
916,131,29.63
925,414,29.63
926,414,29.63
927,122,29.63
934,649,29.63
939,685,29.63
939,696,29.63
940,685,29.63
940,696,29.63
941,490,29.63
741,408,29.63
741,425,29.63
741,430,29.63
739,408,29.63
739,425,29.63
739,430,29.63
966,604,29.63
740,185,29.63
740,198,29.63
740,244,29.63
740,693,29.63
967,619,29.63
967,639,29.63
968,487,29.63
786,151,29.63
786,195,29.63
786,198,29.63
786,425,29.63
786,677,29.63
786,685,29.63
786,693,29.63
748,151,29.63
748,195,29.63
748,198,29.63
748,425,29.63
748,677,29.63
748,685,29.63
748,693,29.63
773,17,30.25
773,82,30.25
773,690,30.25
787,606,30.25
774,606,30.25
754,17,30.25
754,152,30.25
754,186,30.25
754,199,30.25
754,206,30.25
754,410,30.25
754,423,30.25
754,428,30.25
754,690,30.25
742,410,30.25
742,423,30.25
742,428,30.25
802,394,30.25
803,394,30.25
763,687,30.25
763,690,30.25
811,690,30.25
813,394,30.25
762,132,30.25
762,410,30.25
762,416,30.25
762,423,30.25
762,428,30.25
762,690,30.25
914,132,30.25
786,410,30.25
786,423,30.25
786,428,30.25
786,690,30.25
748,410,30.25
748,423,30.25
748,428,30.25
748,690,30.25
813,396,30.54
773,19,29.72
773,84,29.72
773,420,29.72
773,426,29.72
773,603,29.72
773,616,29.72
773,638,29.72
773,700,29.72
787,603,29.72
787,620,29.72
774,603,29.72
754,148,29.72
754,184,29.72
754,189,29.72
754,197,29.72
754,201,29.72
754,209,29.72
754,241,29.72
754,247,29.72
754,348,29.72
754,350,29.72
754,397,29.72
754,401,29.72
754,420,29.72
754,426,29.72
754,603,29.72
754,620,29.72
747,420,29.72
805,241,29.72
807,189,29.72
808,209,29.72
810,209,29.72
763,688,29.72
811,688,29.72
812,156,29.72
813,383,29.72
813,386,29.72
813,388,29.72
813,390,29.72
750,130,29.72
750,156,29.72
750,209,29.72
750,241,29.72
750,247,29.72
750,397,29.72
750,603,29.72
750,609,29.72
750,692,29.72
830,474,29.72
830,476,29.72
830,486,29.72
830,488,29.72
830,491,29.72
830,676,29.72
856,700,29.72
856,702,29.72
862,603,29.72
862,609,29.72
868,603,29.72
870,603,29.72
762,124,29.72
762,127,29.72
762,130,29.72
762,135,29.72
762,136,29.72
762,203,29.72
762,209,29.72
762,348,29.72
762,363,29.72
762,401,29.72
762,417,29.72
762,433,29.72
762,489,29.72
762,603,29.72
762,692,29.72
762,700,29.72
914,124,29.72
914,127,29.72
914,130,29.72
914,135,29.72
917,489,29.72
785,417,29.72
918,417,29.72
919,433,29.72
921,417,29.72
921,433,29.72
924,203,29.72
924,209,29.72
753,616,29.72
753,620,29.72
753,638,29.72
939,692,29.72
939,697,29.72
940,692,29.72
940,697,29.72
744,638,29.72
941,485,29.72
941,491,29.72
942,484,29.72
942,488,29.72
942,491,29.72
945,124,29.72
945,133,29.72
946,397,29.72
946,398,29.72
947,700,29.72
954,491,29.72
741,420,29.72
741,426,29.72
741,491,29.72
969,616,29.72
786,19,29.72
786,130,29.72
786,412,29.72
786,420,29.72
786,426,29.72
786,692,29.72
748,19,29.72
748,130,29.72
748,412,29.72
748,420,29.72
748,692,29.72
750,141,30.38
750,237,30.38
750,296,30.38
750,333,30.38
750,366,30.38
750,576,30.38
750,584,30.38
750,592,30.38
750,658,30.38
750,663,30.38
745,10,30.38
745,13,30.38
745,33,30.38
745,39,30.38
745,42,30.38
745,48,30.38
745,53,30.38
745,54,30.38
745,65,30.38
745,67,30.38
745,69,30.38
745,73,30.38
745,76,30.38
745,78,30.38
745,91,30.38
745,95,30.38
745,108,30.38
745,112,30.38
745,117,30.38
745,254,30.38
745,257,30.38
745,261,30.38
745,266,30.38
745,324,30.38
745,360,30.38
745,418,30.38
745,543,30.38
745,550,30.38
731,54,30.38
731,543,30.38
831,439,30.38
751,654,30.38
777,310,30.38
776,280,30.38
776,339,30.38
776,436,30.38
776,438,30.38
776,439,30.38
776,443,30.38
776,446,30.38
776,452,30.38
776,454,30.38
776,461,30.38
776,466,30.38
776,611,30.38
776,623,30.38
776,628,30.38
776,635,30.38
776,643,30.38
776,650,30.38
776,654,30.38
854,438,30.38
855,635,30.38
864,141,30.38
864,237,30.38
864,296,30.38
864,366,30.38
864,658,30.38
864,663,30.38
772,592,30.38
772,658,30.38
865,584,30.38
865,592,30.38
873,584,30.38
873,592,30.38
792,461,30.38
762,8,30.38
762,10,30.38
762,20,30.38
762,25,30.38
762,27,30.38
762,30,30.38
762,36,30.38
762,39,30.38
762,42,30.38
762,46,30.38
762,51,30.38
762,53,30.38
762,54,30.38
762,73,30.38
762,76,30.38
762,89,30.38
762,90,30.38
762,91,30.38
762,95,30.38
762,99,30.38
762,103,30.38
762,106,30.38
762,108,30.38
762,112,30.38
762,117,30.38
762,145,30.38
762,149,30.38
762,178,30.38
762,181,30.38
762,190,30.38
762,211,30.38
762,218,30.38
762,223,30.38
762,228,30.38
762,234,30.38
762,235,30.38
762,243,30.38
762,249,30.38
762,252,30.38
762,254,30.38
762,256,30.38
762,257,30.38
762,261,30.38
762,266,30.38
762,271,30.38
762,276,30.38
