node_id,Ocean,Host_Sci_Name,type,genetic,host_tol
1,Indian,Acanthastrea echinata,0,Mussidae,0.579
2,Pacific,Acanthastrea echinata,0,Mussidae,0.579
3,Indian,Acanthastrea hemprichii,0,Mussidae,0.655
4,Pacific,Galaxea sp.,0,Oculinidae,0.679
5,Pacific,Acropora abrolhosensis,0,Acroporidae,0.645
6,Pacific,Acropora aculeus,0,Acroporidae,0.823
7,Indian,Acropora appressa,0,Acroporidae,0.642
8,Indian,Acropora aspera,0,Acroporidae,0.593
9,Pacific,Acropora aspera,0,Acroporidae,0.593
10,Indian,Acropora austera,0,Acroporidae,0.767
11,Pacific,Acropora austera,0,Acroporidae,0.767
12,Pacific,Acropora cerealis,0,Acroporidae,0.514
13,Indian,Acropora cerealis,0,Acroporidae,0.514
14,Pacific,Acropora cerealis,0,Acroporidae,0.514
15,Caribbean,Acropora cervicornis,0,Acroporidae,0.681
16,Caribbean,Acropora cervicornis,0,Acroporidae,0.681
17,Caribbean,Acropora cervicornis,0,Acroporidae,0.681
18,Caribbean,Acropora cervicornis,0,Acroporidae,0.681
19,Caribbean,Acropora cervicornis,0,Acroporidae,0.681
20,Indian,Acropora clathrata,0,Acroporidae,0.670
21,Pacific,Acropora clathrata,0,Acroporidae,0.670
22,Pacific,Acropora copiosa,0,Acroporidae,0.675
23,Pacific,Acropora cytherea,0,Acroporidae,0.575
24,Pacific,Acropora cytherea,0,Acroporidae,0.575
25,Indian,Acropora cytherea,0,Acroporidae,0.575
26,Pacific,Acropora cytherea,0,Acroporidae,0.575
27,Indian,Acropora danae,0,Acroporidae,0.642
28,Pacific,Acropora danei,0,Acroporidae,0.800
29,Pacific,Acropora digitifera,0,Acroporidae,0.682
30,Indian,Acropora digitifera,0,Acroporidae,0.682
31,Pacific,Acropora digitifera,0,Acroporidae,0.682
32,Pacific,Acropora divaricata,0,Acroporidae,0.739
33,Indian,Acropora divaricata,0,Acroporidae,0.739
34,Pacific,Acropora divaricata,0,Acroporidae,0.739
35,Pacific,Acropora donei,0,Acroporidae,0.673
36,Indian,Acropora elseyi,0,Acroporidae,0.746
37,Pacific,Acropora exquisita,0,Acroporidae,0.545
38,Pacific,Acropora florida,0,Acroporidae,0.543
39,Indian,Acropora florida,0,Acroporidae,0.543
40,Pacific,Acropora florida,0,Acroporidae,0.543
41,Pacific,Acropora florida,0,Acroporidae,0.543
42,Indian,Acropora formosa,0,Acroporidae,0.507
43,Pacific,Acropora formosa,0,Acroporidae,0.507
44,Pacific,Acropora gemmifera,0,Acroporidae,0.289
45,Indian,Acropora gemmifera,0,Acroporidae,0.289
46,Indian,Acropora gemmifera,0,Acroporidae,0.289
47,Indian,Acropora glauca,0,Acroporidae,0.757
48,Indian,Acropora grandis,0,Acroporidae,0.758
49,Pacific,Acropora grandis,0,Acroporidae,0.758
50,Indian,Acropora granulosa,0,Acroporidae,0.663
51,Indian,Acropora horrida,0,Acroporidae,0.806
52,Pacific,Acropora humilis,0,Acroporidae,0.489
53,Indian,Acropora humilis,0,Acroporidae,0.489
54,Indian,Acropora hyacinthus,0,Acroporidae,0.643
55,Pacific,Acropora hyacinthus,0,Acroporidae,0.643
56,Pacific,Acropora latistella,0,Acroporidae,0.747
57,Indian,Acropora latistella,0,Acroporidae,0.747
58,Indian,Acropora latistella,0,Acroporidae,0.747
59,Pacific,Acropora listeri,0,Acroporidae,0.815
60,Pacific,Acropora longicyathus,0,Acroporidae,0.741
61,Indian,Acropora loripes,0,Acroporidae,0.906
62,Pacific,Acropora loripes,0,Acroporidae,0.906
63,Indian,Acropora lutkeni,0,Acroporidae,0.863
64,Pacific,Acropora microclados,0,Acroporidae,0.783
65,Indian,Acropora microphthalma,0,Acroporidae,0.927
66,Pacific,Acropora microphthalma,0,Acroporidae,0.927
67,Indian,Acropora millepora,0,Acroporidae,0.658
68,Pacific,Acropora millepora,0,Acroporidae,0.658
69,Indian,Acropora monticulosa,0,Acroporidae,0.548
70,Pacific,Acropora monticulosa,0,Acroporidae,0.548
71,Pacific,Acropora nasuta,0,Acroporidae,0.411
72,Pacific,Acropora nasuta,0,Acroporidae,0.411
73,Indian,Acropora nasuta,0,Acroporidae,0.411
74,Pacific,Acropora nobilis,0,Acroporidae,0.658
75,Pacific,Acropora nobilis,0,Acroporidae,0.658
76,Indian,Acropora nobilis,0,Acroporidae,0.658
77,Pacific,Acropora palifera,0,Acroporidae,0.478
78,Indian,Acropora palifera,0,Acroporidae,0.478
79,Pacific,Acropora palifera,0,Acroporidae,0.478
80,Caribbean,Acropora palmata,0,Acroporidae,0.742
81,Caribbean,Acropora palmata,0,Acroporidae,0.742
82,Caribbean,Acropora palmata,0,Acroporidae,0.742
83,Caribbean,Acropora palmata,0,Acroporidae,0.742
84,Caribbean,Acropora palmata,0,Acroporidae,0.742
85,Pacific,Acropora paniculata,0,Acroporidae,0.872
86,Pacific,Acropora polystoma,0,Acroporidae,0.599
87,Indian,Acropora pulchra,0,Acroporidae,0.564
88,Indian,Acropora retusa,0,Acroporidae,0.672
89,Indian,Acropora robusta,0,Acroporidae,0.640
90,Indian,Acropora rudis,0,Acroporidae,0.562
91,Indian,Acropora samoensis,0,Acroporidae,0.885
92,Indian,Acropora samoensis,0,Acroporidae,0.885
93,Pacific,Acropora sarmentosa,0,Acroporidae,0.878
94,Pacific,Acropora secale,0,Acroporidae,0.690
95,Indian,Acropora secale,0,Acroporidae,0.690
96,Indian,Acropora secale,0,Acroporidae,0.690
97,Pacific,Acropora secale,0,Acroporidae,0.690
98,Pacific,Acropora selago,0,Acroporidae,0.877
99,Indian,Acropora solitaryensis,0,Acroporidae,0.701
100,Indian,Acropora solitaryensis,0,Acroporidae,0.701
101,Indian,Acropora sp.,0,Acroporidae,0.608
102,Caribbean,Acropora sp.,0,Acroporidae,0.608
103,Indian,Acropora sp.,0,Acroporidae,0.608
104,Caribbean,Acropora sp.,0,Acroporidae,0.608
105,Pacific,Acropora sp.,0,Acroporidae,0.608
106,Indian,Acropora spicifera,0,Acroporidae,0.705
107,Pacific,Acropora subglabra,0,Acroporidae,0.643
108,Indian,Acropora subulata,0,Acroporidae,0.704
109,Indian,Acropora subulata,0,Acroporidae,0.704
110,Pacific,Acropora subulata,0,Acroporidae,0.704
111,Pacific,Acropora tenuis,0,Acroporidae,0.622
112,Indian,Acropora tenuis,0,Acroporidae,0.622
113,Indian,Acropora tenuis,0,Acroporidae,0.622
114,Pacific,Acropora tenuis,0,Acroporidae,0.622
115,Pacific,Acropora torresiana,0,Acroporidae,0.631
116,Pacific,Acropora valida,0,Acroporidae,0.837
117,Indian,Acropora valida,0,Acroporidae,0.837
118,Indian,Acropora valida,0,Acroporidae,0.837
119,Pacific,Acropora valida,0,Acroporidae,0.837
120,Pacific,Acropora verweyi,0,Acroporidae,0.588
121,Pacific,Acropora yongei,0,Acroporidae,0.840
122,Caribbean,Agaricia agaricites,0,Agariciidae,0.665
123,Caribbean,Agaricia agaricites,0,Agariciidae,0.665
