ID,phylotype,type,clade
796,A1.2,1,A
797,A1a,1,A
798,A4.1,1,A
799,A4.2,1,A
800,A4.3,1,A
801,A4porites,1,A
802,B13,1,B
803,B13a,1,B
804,B15,1,B
805,B1e,1,B
806,B1k,1,B
807,B20,1,B
808,B24,1,B
809,B35,1,B
810,B38,1,B
811,B5a,1,B
812,B6,1,B
813,B7,1,B
814,B9,1,B
815,C#,1,C
816,C1_v1a,1,C
817,C1_v1b,1,C
818,C1.5,1,C
819,C1.6,1,C
820,C1.7,1,C
821,C1.8,1,C
822,C1#,1,C
823,C10,1,C
824,C105,1,C
825,C105a,1,C
826,C109a,1,C
827,C109b,1,C
828,C109c,1,C
829,C10a,1,C
830,C11,1,C
831,C110,1,C
832,C115,1,C
833,C115a,1,C
834,C13,1,C
835,C14,1,C
836,C15.1,1,C
837,C15.2 (type 1),1,C
838,C15.2 (type 2),1,C
839,C15.3,1,C
840,C15.4,1,C
841,C15.5,1,C
842,C15.6,1,C
843,C15.7,1,C
844,C15.8,1,C
845,C15.9,1,C
846,C15a,1,C
847,C15b,1,C
848,C15c,1,C
849,C15d,1,C
850,C15f,1,C
851,C15h,1,C
852,C15i,1,C
853,C15j,1,C
854,C15k,1,C
855,C15L,1,C
856,C16,1,C
857,C16a,1,C
858,C17,1,C
859,C17a,1,C
860,C18,1,C
861,C19,1,C
862,C1a,1,C
863,C1aa,1,C
864,C1b,1,C
865,C1d,1,C
866,C1f,1,C
867,C1g,1,C
868,C1i,1,C
869,C1ii,1,C
870,C1j,1,C
871,C1m,1,C
872,C1s,1,C
873,C1t,1,C
874,C1y,1,C
875,C21.11,1,C
876,C21.12,1,C
877,C21.13,1,C
878,C21.14,1,C
879,C21.16,1,C
880,C21.6,1,C
881,C21a,1,C
882,C22,1,C
883,C22a,1,C
884,C27,1,C
885,C27.1,1,C
886,C28,1,C
887,C3.10,1,C
888,C3.11,1,C
889,C3.12,1,C
890,C3.14,1,C
891,C3.2,1,C
892,C3.7,1,C
893,C3.8,1,C
894,C3.9,1,C
895,C31.1,1,C
896,C31.10,1,C
897,C31.5,1,C
898,C31.6,1,C
899,C31.9,1,C
900,C31a,1,C
901,C31c,1,C
902,C31d,1,C
903,C32,1,C
904,C32a,1,C
905,C33.1,1,C
906,C33a,1,C
907,C34,1,C
908,C35,1,C
909,C35 (type 3),1,C
910,C36,1,C
911,C37,1,C
912,C38,1,C
913,C38a,1,C
914,C3a,1,C
915,C3aa,1,C
916,C3b,1,C
917,C3c,1,C
918,C3e,1,C
919,C3f,1,C
920,C3ff,1,C
921,C3g,1,C
922,C3ha,1,C
923,C3ii,1,C
924,C3L,1,C
925,C3o,1,C
926,C3p,1,C
927,C3q,1,C
928,C3t,1,C
929,C3w,1,C
930,C3y,1,C
931,C40a,1,C
932,C40b,1,C
933,C42b,1,C
934,C43,1,C
935,C44,1,C
936,C44a,1,C
937,C45.3,1,C
938,C45a,1,C
939,C46,1,C
940,C46a,1,C
941,C48,1,C
942,C49,1,C
943,C50,1,C
944,C51,1,C
945,C52,1,C
946,C53,1,C
947,C54,1,C
948,C54a,1,C
949,C55,1,C
950,C56,1,C
951,C56a,1,C
952,C58,1,C
953,C59,1,C
954,C6,1,C
955,C60,1,C
956,C61,1,C
957,C63a,1,C
958,C64,1,C
959,C66a,1,C
960,C66b,1,C
961,C73,1,C
962,C75,1,C
963,C76,1,C
964,C77,1,C
965,C78a,1,C
966,C80,1,C
967,C82,1,C
968,C83,1,C
969,C9,1,C
970,C94,1,C
978,KB1,1,C
979,KB2,1,C
980,KB3,1,C
981,KB4,1,C
971,D1.6,1,D
972,D10,1,D
973,D11,1,D
974,D1c,1,D
975,D2,1,D
976,D6,1,D
