spatial scale,RobustnessType,diff_obs,obt_p,obt_F,pval,type1,type2,p_adjust_holm
global_r.permres,TotalRobustness,-0.183782432,3.39E-198,19508.96302,0.000999001,bleach,RL,0
global_r.permres.1,TotalRobustness,-0.120093094,1.78E-167,9378.871677,0.000999001,bleach,LT_BL,0
global_r.permres.2,TotalRobustness,-0.173312381,2.78E-205,23078.31201,0.000999001,bleach,LT_SL,0
global_r.permres.3,TotalRobustness,0.007904621,1.38E-14,69.39770306,0.000999001,bleach,LT_HL,0
global_r.permres.4,TotalRobustness,0.144914786,1.85E-95,1567.913645,0.000999001,bleach,RB,0
global_r.permres.5,TotalRobustness,0.32707867,1.04E-244,58578.4829,0.000999001,bleach,TLB,0
global_r.permres.6,TotalRobustness,0.506844241,5.55562020836645e-312,285319.8925,0.000999001,bleach,DHB,0
global_r.permres.7,TotalRobustness,0.033425562,1.13E-85,1205.759636,0.000999001,bleach,DLB,0
global_r.permres.8,TotalRobustness,0.063689339,1.76E-117,2762.544688,0.000999001,RL,LT_BL,0
global_r.permres.9,TotalRobustness,0.010470051,1.19E-17,88.9705325,0.000999001,RL,LT_SL,0
global_r.permres.10,TotalRobustness,0.191687053,8.69E-233,44219.48438,0.000999001,RL,LT_HL,0
global_r.permres.11,TotalRobustness,0.328697218,2.03E-161,8108.593272,0.000999001,RL,RB,0
global_r.permres.12,TotalRobustness,0.510861103,3.14E-284,148548.7314,0.000999001,RL,TLB,0
global_r.permres.13,TotalRobustness,0.690626673,0,574003.8521,0.000999001,RL,DHB,0
global_r.permres.14,TotalRobustness,0.217207994,4.57E-242,55039.37652,0.000999001,RL,DLB,0
global_r.permres.15,TotalRobustness,-0.053219288,5.73E-117,2727.137806,0.000999001,LT_BL,LT_SL,0
global_r.permres.16,TotalRobustness,0.127997714,7.84E-210,25704.01315,0.000999001,LT_BL,LT_HL,0
global_r.permres.17,TotalRobustness,0.265007879,3.21E-144,5348.427296,0.000999001,LT_BL,RB,0
global_r.permres.18,TotalRobustness,0.447171764,7.16E-278,127910.4472,0.000999001,LT_BL,TLB,0
global_r.permres.19,TotalRobustness,0.626937334,0,616658.57,0.000999001,LT_BL,DHB,0
global_r.permres.20,TotalRobustness,0.153518655,1.68E-223,35513.45474,0.000999001,LT_BL,DLB,0
