Symbiont.Index,Host.Index,T_MMM_05_degC
773,16,29.94
773,81,29.94
773,699,29.94
787,607,29.94
798,607,29.94
799,607,29.94
800,607,29.94
774,607,29.94
1593,16,29.94
1594,154,29.94
1595,188,29.94
1596,208,29.94
1597,239,29.94
1598,384,29.94
1599,402,29.94
1600,411,29.94
1601,424,29.94
1602,429,29.94
1603,694,29.94
802,395,29.94
803,395,29.94
763,689,29.94
763,694,29.94
811,689,29.94
811,694,29.94
812,154,29.94
813,382,29.94
813,395,29.94
814,154,29.94
1317,154,29.94
1318,411,29.94
1319,429,29.94
1320,618,29.94
1321,694,29.94
823,641,29.94
830,675,29.94
767,102,29.94
767,411,29.94
767,424,29.94
767,429,29.94
767,432,29.94
856,701,29.94
857,701,29.94
772,641,29.94
982,154,29.94
983,157,29.94
984,204,29.94
985,411,29.94
986,415,29.94
987,694,29.94
924,154,29.94
924,157,29.94
924,204,29.94
935,618,29.94
936,618,29.94
938,641,29.94
939,689,29.94
939,695,29.94
943,204,29.94
944,492,29.94
947,248,29.94
948,248,29.94
741,411,29.94
741,424,29.94
741,429,29.94
963,351,29.94
964,349,29.94
1482,411,29.94
1483,424,29.94
1484,429,29.94
1485,694,29.94
748,411,29.94
748,424,29.94
748,429,29.94
748,694,29.94
773,80,29.63
773,685,29.63
773,698,29.63
787,604,29.63
787,639,29.63
774,604,29.63
801,639,29.63
1604,122,29.63
1605,125,29.63
1606,128,29.63
1607,151,29.63
1608,182,29.63
1609,185,29.63
1610,195,29.63
1611,198,29.63
1612,205,29.63
1613,238,29.63
1614,244,29.63
1615,400,29.63
1616,408,29.63
1617,425,29.63
1618,604,29.63
1619,685,29.63
802,387,29.63
802,392,29.63
804,385,29.63
804,389,29.63
738,408,29.63
738,425,29.63
806,182,29.63
809,205,29.63
763,685,29.63
813,380,29.63
813,381,29.63
813,385,29.63
813,387,29.63
813,389,29.63
813,391,29.63
813,392,29.63
1322,604,29.63
823,649,29.63
829,649,29.63
830,473,29.63
830,475,29.63
830,490,29.63
834,649,29.63
835,649,29.63
862,604,29.63
868,604,29.63
988,122,29.63
989,125,29.63
990,128,29.63
991,131,29.63
992,198,29.63
993,205,29.63
994,244,29.63
995,362,29.63
996,414,29.63
997,604,29.63
998,677,29.63
999,685,29.63
1000,693,29.63
1001,698,29.63
907,198,29.63
912,104,29.63
913,104,29.63
916,122,29.63
916,128,29.63
916,131,29.63
925,414,29.63
926,414,29.63
927,122,29.63
934,649,29.63
939,685,29.63
939,696,29.63
940,685,29.63
940,696,29.63
941,490,29.63
741,408,29.63
741,425,29.63
741,430,29.63
739,408,29.63
739,425,29.63
739,430,29.63
966,604,29.63
740,185,29.63
740,198,29.63
740,244,29.63
740,693,29.63
967,619,29.63
967,639,29.63
968,487,29.63
1486,151,29.63
1487,195,29.63
1488,198,29.63
1489,425,29.63
1490,677,29.63
1491,685,29.63
1492,693,29.63
748,151,29.63
748,195,29.63
748,198,29.63
748,425,29.63
748,677,29.63
748,685,29.63
748,693,29.63
773,17,30.25
773,82,30.25
773,690,30.25
787,606,30.25
774,606,30.25
1620,17,30.25
1621,152,30.25
1622,186,30.25
1623,199,30.25
1624,206,30.25
1625,410,30.25
1626,423,30.25
1627,428,30.25
1628,690,30.25
742,410,30.25
742,423,30.25
742,428,30.25
802,394,30.25
803,394,30.25
763,687,30.25
763,690,30.25
811,690,30.25
813,394,30.25
1002,132,30.25
1003,410,30.25
1004,416,30.25
1005,423,30.25
1006,428,30.25
1007,690,30.25
914,132,30.25
1493,410,30.25
1494,423,30.25
1495,428,30.25
1496,690,30.25
748,410,30.25
748,423,30.25
748,428,30.25
748,690,30.25
813,396,30.54
773,19,29.72
773,84,29.72
773,420,29.72
773,426,29.72
773,603,29.72
773,616,29.72
773,638,29.72
773,700,29.72
787,603,29.72
787,620,29.72
774,603,29.72
1629,148,29.72
1630,184,29.72
1631,189,29.72
1632,197,29.72
1633,201,29.72
1634,209,29.72
1635,241,29.72
1636,247,29.72
1637,348,29.72
1638,350,29.72
1639,397,29.72
1640,401,29.72
1641,420,29.72
1642,426,29.72
1643,603,29.72
1644,620,29.72
747,420,29.72
805,241,29.72
807,189,29.72
808,209,29.72
810,209,29.72
763,688,29.72
811,688,29.72
812,156,29.72
813,383,29.72
813,386,29.72
813,388,29.72
813,390,29.72
1323,130,29.72
1324,156,29.72
1325,209,29.72
1326,241,29.72
1327,247,29.72
1328,397,29.72
1329,603,29.72
1330,609,29.72
1331,692,29.72
830,474,29.72
830,476,29.72
830,486,29.72
830,488,29.72
830,491,29.72
830,676,29.72
856,700,29.72
856,702,29.72
862,603,29.72
862,609,29.72
868,603,29.72
870,603,29.72
1008,124,29.72
1009,127,29.72
1010,130,29.72
1011,135,29.72
1012,136,29.72
1013,203,29.72
1014,209,29.72
1015,348,29.72
1016,363,29.72
1017,401,29.72
1018,417,29.72
1019,433,29.72
1020,489,29.72
1021,603,29.72
1022,692,29.72
1023,700,29.72
914,124,29.72
914,127,29.72
914,130,29.72
914,135,29.72
917,489,29.72
785,417,29.72
918,417,29.72
919,433,29.72
921,417,29.72
921,433,29.72
924,203,29.72
924,209,29.72
753,616,29.72
753,620,29.72
753,638,29.72
939,692,29.72
939,697,29.72
940,692,29.72
940,697,29.72
744,638,29.72
941,485,29.72
941,491,29.72
942,484,29.72
942,488,29.72
942,491,29.72
945,124,29.72
945,133,29.72
946,397,29.72
946,398,29.72
947,700,29.72
954,491,29.72
741,420,29.72
741,426,29.72
741,491,29.72
969,616,29.72
1497,19,29.72
1498,130,29.72
1499,412,29.72
1500,420,29.72
1501,426,29.72
1502,692,29.72
748,19,29.72
748,130,29.72
748,412,29.72
748,420,29.72
748,692,29.72
1332,141,30.38
1333,237,30.38
1334,296,30.38
1335,333,30.38
1336,366,30.38
1337,576,30.38
1338,584,30.38
1339,592,30.38
1340,658,30.38
1341,663,30.38
745,10,30.38
745,13,30.38
745,33,30.38
745,39,30.38
745,42,30.38
745,48,30.38
745,53,30.38
745,54,30.38
745,65,30.38
745,67,30.38
745,69,30.38
745,73,30.38
745,76,30.38
745,78,30.38
745,91,30.38
745,95,30.38
745,108,30.38
745,112,30.38
745,117,30.38
745,254,30.38
745,257,30.38
745,261,30.38
745,266,30.38
745,324,30.38
745,360,30.38
745,418,30.38
745,543,30.38
745,550,30.38
731,54,30.38
731,543,30.38
831,439,30.38
751,654,30.38
777,310,30.38
776,280,30.38
776,339,30.38
776,436,30.38
776,438,30.38
776,439,30.38
776,443,30.38
776,446,30.38
776,452,30.38
776,454,30.38
776,461,30.38
776,466,30.38
776,611,30.38
776,623,30.38
776,628,30.38
776,635,30.38
776,643,30.38
776,650,30.38
776,654,30.38
854,438,30.38
855,635,30.38
864,141,30.38
864,237,30.38
864,296,30.38
864,366,30.38
864,658,30.38
864,663,30.38
772,592,30.38
772,658,30.38
865,584,30.38
865,592,30.38
873,584,30.38
873,592,30.38
792,461,30.38
1024,8,30.38
1025,10,30.38
1026,20,30.38
1027,25,30.38
1028,27,30.38
1029,30,30.38
1030,36,30.38
1031,39,30.38
1032,42,30.38
1033,46,30.38
1034,51,30.38
1035,53,30.38
1036,54,30.38
1037,73,30.38
1038,76,30.38
1039,89,30.38
1040,90,30.38
1041,91,30.38
1042,95,30.38
1043,99,30.38
1044,103,30.38
1045,106,30.38
1046,108,30.38
1047,112,30.38
1048,117,30.38
1049,145,30.38
1050,149,30.38
