ID,phylotype,type,clade
762,C3,1,C
982,C3,1,C
983,C3,1,C
984,C3,1,C
985,C3,1,C
986,C3,1,C
987,C3,1,C
988,C3,1,C
989,C3,1,C
990,C3,1,C
991,C3,1,C
992,C3,1,C
993,C3,1,C
994,C3,1,C
995,C3,1,C
996,C3,1,C
997,C3,1,C
998,C3,1,C
999,C3,1,C
1000,C3,1,C
1001,C3,1,C
1002,C3,1,C
1003,C3,1,C
1004,C3,1,C
1005,C3,1,C
1006,C3,1,C
1007,C3,1,C
1008,C3,1,C
1009,C3,1,C
1010,C3,1,C
1011,C3,1,C
1012,C3,1,C
1013,C3,1,C
1014,C3,1,C
1015,C3,1,C
1016,C3,1,C
1017,C3,1,C
1018,C3,1,C
1019,C3,1,C
1020,C3,1,C
1021,C3,1,C
1022,C3,1,C
1023,C3,1,C
1024,C3,1,C
1025,C3,1,C
1026,C3,1,C
1027,C3,1,C
1028,C3,1,C
1029,C3,1,C
1030,C3,1,C
1031,C3,1,C
1032,C3,1,C
1033,C3,1,C
1034,C3,1,C
1035,C3,1,C
1036,C3,1,C
1037,C3,1,C
1038,C3,1,C
1039,C3,1,C
1040,C3,1,C
1041,C3,1,C
1042,C3,1,C
1043,C3,1,C
1044,C3,1,C
1045,C3,1,C
1046,C3,1,C
1047,C3,1,C
1048,C3,1,C
1049,C3,1,C
1050,C3,1,C
1051,C3,1,C
1052,C3,1,C
1053,C3,1,C
1054,C3,1,C
1055,C3,1,C
1056,C3,1,C
1057,C3,1,C
1058,C3,1,C
1059,C3,1,C
1060,C3,1,C
1061,C3,1,C
1062,C3,1,C
1063,C3,1,C
1064,C3,1,C
1065,C3,1,C
1066,C3,1,C
1067,C3,1,C
1068,C3,1,C
1069,C3,1,C
1070,C3,1,C
1071,C3,1,C
1072,C3,1,C
1073,C3,1,C
1074,C3,1,C
1075,C3,1,C
1076,C3,1,C
1077,C3,1,C
1078,C3,1,C
1079,C3,1,C
1080,C3,1,C
1081,C3,1,C
1082,C3,1,C
1083,C3,1,C
1084,C3,1,C
1085,C3,1,C
1086,C3,1,C
1087,C3,1,C
1088,C3,1,C
1089,C3,1,C
1090,C3,1,C
1091,C3,1,C
1092,C3,1,C
1093,C3,1,C
1094,C3,1,C
1095,C3,1,C
1096,C3,1,C
1097,C3,1,C
1098,C3,1,C
1099,C3,1,C
1100,C3,1,C
1101,C3,1,C
1102,C3,1,C
1103,C3,1,C
1104,C3,1,C
1105,C3,1,C
1106,C3,1,C
1107,C3,1,C
1108,C3,1,C
1109,C3,1,C
1110,C3,1,C
1111,C3,1,C
1112,C3,1,C
1113,C3,1,C
1114,C3,1,C
1115,C3,1,C
1116,C3,1,C
1117,C3,1,C
1118,C3,1,C
1119,C3,1,C
1120,C3,1,C
1121,C3,1,C
1122,C3,1,C
1123,C3,1,C
1124,C3,1,C
1125,C3,1,C
1126,C3,1,C
1127,C3,1,C
1128,C3,1,C
1129,C3,1,C
1130,C3,1,C
1131,C3,1,C
1132,C3,1,C
1133,C3,1,C
1134,C3,1,C
1135,C3,1,C
1136,C3,1,C
1137,C3,1,C
1138,C3,1,C
1139,C3,1,C
1140,C3,1,C
1141,C3,1,C
1142,C3,1,C
1143,C3,1,C
1144,C3,1,C
1145,C3,1,C
1146,C3,1,C
1147,C3,1,C
1148,C3,1,C
1149,C3,1,C
1150,C3,1,C
1151,C3,1,C
1152,C3,1,C
1153,C3,1,C
1154,C3,1,C
1155,C3,1,C
1156,C3,1,C
1157,C3,1,C
1158,C3,1,C
1159,C3,1,C
1160,C3,1,C
1161,C3,1,C
1162,C3,1,C
1163,C3,1,C
1164,C3,1,C
1165,C3,1,C
1166,C3,1,C
1167,C3,1,C
1168,C3,1,C
1169,C3,1,C
1170,C3,1,C
1171,C3,1,C
1172,C3,1,C
1173,C3,1,C
1174,C3,1,C
1175,C3,1,C
1176,C3,1,C
1177,C3,1,C
1178,C3,1,C
1179,C3,1,C
1180,C3,1,C
1181,C3,1,C
1182,C3,1,C
1183,C3,1,C
1184,C3,1,C
1185,C3,1,C
1186,C3,1,C
1187,C3,1,C
1188,C3,1,C
1189,C3,1,C
1190,C3,1,C
1191,C3,1,C
1192,C3,1,C
1193,C3,1,C
1194,C3,1,C
1195,C3,1,C
1196,C3,1,C
1197,C3,1,C
1198,C3,1,C
1199,C3,1,C
1200,C3,1,C
1201,C3,1,C
1202,C3,1,C
1203,C3,1,C
1204,C3,1,C
1205,C3,1,C
1206,C3,1,C
1207,C3,1,C
1208,C3,1,C
1209,C3,1,C
1210,C3,1,C
1211,C3,1,C
1212,C3,1,C
1213,C3,1,C
1214,C3,1,C
1215,C3,1,C
1216,C3,1,C
1217,C3,1,C
1218,C3,1,C
1219,C3,1,C
1220,C3,1,C
1221,C3,1,C
1222,C3,1,C
1223,C3,1,C
1224,C3,1,C
1225,C3,1,C
1226,C3,1,C
1227,C3,1,C
1228,C3,1,C
1229,C3,1,C
1230,C3,1,C
1231,C3,1,C
1232,C3,1,C
1233,C3,1,C
1234,C3,1,C
1235,C3,1,C
1236,C3,1,C
1237,C3,1,C
1238,C3,1,C
1239,C3,1,C
1240,C3,1,C
1241,C3,1,C
1242,C3,1,C
1243,C3,1,C
1244,C3,1,C
1245,C3,1,C
1246,C3,1,C
1247,C3,1,C
1248,C3,1,C
1249,C3,1,C
1250,C3,1,C
1251,C3,1,C
1252,C3,1,C
1253,C3,1,C
1254,C3,1,C
1255,C3,1,C
1256,C3,1,C
1257,C3,1,C
1258,C3,1,C
1259,C3,1,C
1260,C3,1,C
1261,C3,1,C
1262,C3,1,C
1263,C3,1,C
1264,C3,1,C
1265,C3,1,C
1266,C3,1,C
1267,C3,1,C
1268,C3,1,C
1269,C3,1,C
1270,C3,1,C
1271,C3,1,C
1272,C3,1,C
1273,C3,1,C
1274,C3,1,C
1275,C3,1,C
1276,C3,1,C
1277,C3,1,C
1278,C3,1,C
1279,C3,1,C
1280,C3,1,C
1281,C3,1,C
1282,C3,1,C
1283,C3,1,C
1284,C3,1,C
1285,C3,1,C
1286,C3,1,C
1287,C3,1,C
1288,C3,1,C
1289,C3,1,C
1290,C3,1,C
1291,C3,1,C
1292,C3,1,C
1293,C3,1,C
1294,C3,1,C
1295,C3,1,C
1296,C3,1,C
1297,C3,1,C
1298,C3,1,C
1299,C3,1,C
1300,C3,1,C
1301,C3,1,C
1302,C3,1,C
1303,C3,1,C
1304,C3,1,C
1305,C3,1,C
1306,C3,1,C
1307,C3,1,C
1308,C3,1,C
1309,C3,1,C
1310,C3,1,C
1311,C3,1,C
1312,C3,1,C
1313,C3,1,C
1314,C3,1,C
1315,C3,1,C
1316,C3,1,C
750,C1,1,C
1317,C1,1,C
1318,C1,1,C
1319,C1,1,C
1320,C1,1,C
1321,C1,1,C
1322,C1,1,C
1323,C1,1,C
1324,C1,1,C
1325,C1,1,C
1326,C1,1,C
1327,C1,1,C
1328,C1,1,C
1329,C1,1,C
1330,C1,1,C
1331,C1,1,C
1332,C1,1,C
1333,C1,1,C
1334,C1,1,C
1335,C1,1,C
1336,C1,1,C
1337,C1,1,C
1338,C1,1,C
1339,C1,1,C
1340,C1,1,C
1341,C1,1,C
1342,C1,1,C
1343,C1,1,C
1344,C1,1,C
1345,C1,1,C
1346,C1,1,C
1347,C1,1,C
1348,C1,1,C
1349,C1,1,C
1350,C1,1,C
1351,C1,1,C
1352,C1,1,C
1353,C1,1,C
1354,C1,1,C
1355,C1,1,C
1356,C1,1,C
1357,C1,1,C
1358,C1,1,C
1359,C1,1,C
1360,C1,1,C
1361,C1,1,C
1362,C1,1,C
1363,C1,1,C
1364,C1,1,C
1365,C1,1,C
1366,C1,1,C
1367,C1,1,C
1368,C1,1,C
1369,C1,1,C
1370,C1,1,C
1371,C1,1,C
1372,C1,1,C
1373,C1,1,C
1374,C1,1,C
1375,C1,1,C
1376,C1,1,C
1377,C1,1,C
1378,C1,1,C
1379,C1,1,C
1380,C1,1,C
1381,C1,1,C
1382,C1,1,C
1383,C1,1,C
1384,C1,1,C
1385,C1,1,C
1386,C1,1,C
1387,C1,1,C
1388,C1,1,C
1389,C1,1,C
1390,C1,1,C
1391,C1,1,C
1392,C1,1,C
1393,C1,1,C
1394,C1,1,C
1395,C1,1,C
1396,C1,1,C
1397,C1,1,C
1398,C1,1,C
1399,C1,1,C
1400,C1,1,C
1401,C1,1,C
1402,C1,1,C
1403,C1,1,C
1404,C1,1,C
1405,C1,1,C
1406,C1,1,C
1407,C1,1,C
1408,C1,1,C
1409,C1,1,C
1410,C1,1,C
1411,C1,1,C
1412,C1,1,C
1413,C1,1,C
1414,C1,1,C
1415,C1,1,C
1416,C1,1,C
1417,C1,1,C
1418,C1,1,C
1419,C1,1,C
1420,C1,1,C
1421,C1,1,C
1422,C1,1,C
1423,C1,1,C
1424,C1,1,C
1425,C1,1,C
1426,C1,1,C
1427,C1,1,C
1428,C1,1,C
1429,C1,1,C
1430,C1,1,C
1431,C1,1,C
1432,C1,1,C
1433,C1,1,C
1434,C1,1,C
1435,C1,1,C
1436,C1,1,C
1437,C1,1,C
1438,C1,1,C
1439,C1,1,C
1440,C1,1,C
1441,C1,1,C
1442,C1,1,C
1443,C1,1,C
1444,C1,1,C
1445,C1,1,C
1446,C1,1,C
1447,C1,1,C
1448,C1,1,C
1449,C1,1,C
1450,C1,1,C
1451,C1,1,C
1452,C1,1,C
1453,C1,1,C
1454,C1,1,C
1455,C1,1,C
1456,C1,1,C
1457,C1,1,C
1458,C1,1,C
1459,C1,1,C
1460,C1,1,C
1461,C1,1,C
1462,C1,1,C
1463,C1,1,C
1464,C1,1,C
1465,C1,1,C
1466,C1,1,C
1467,C1,1,C
1468,C1,1,C
1469,C1,1,C
1470,C1,1,C
1471,C1,1,C
1472,C1,1,C
1473,C1,1,C
1474,C1,1,C
1475,C1,1,C
1476,C1,1,C
1477,C1,1,C
1478,C1,1,C
1479,C1,1,C
1480,C1,1,C
1481,C1,1,C
786,D1,1,D
1482,C1,1,C
1483,C1,1,C
1484,C1,1,C
1485,C1,1,C
1486,C1,1,C
1487,C1,1,C
1488,C1,1,C
1489,C1,1,C
1490,C1,1,C
1491,C1,1,C
1492,C1,1,C
1493,C1,1,C
1494,C1,1,C
1495,C1,1,C
1496,C1,1,C
1497,C1,1,C
1498,C1,1,C
1499,C1,1,C
1500,C1,1,C
1501,C1,1,C
1502,C1,1,C
1503,C1,1,C
1504,C1,1,C
1505,C1,1,C
1506,C1,1,C
1507,C1,1,C
1508,C1,1,C
1509,C1,1,C
1510,C1,1,C
1511,C1,1,C
1512,C1,1,C
1513,C1,1,C
1514,C1,1,C
1515,C1,1,C
1516,C1,1,C
1517,C1,1,C
1518,C1,1,C
1519,C1,1,C
1520,C1,1,C
1521,C1,1,C
1522,C1,1,C
1523,C1,1,C
1524,C1,1,C
1525,C1,1,C
1526,C1,1,C
1527,C1,1,C
1528,C1,1,C
1529,C1,1,C
1530,C1,1,C
1531,C1,1,C
1532,C1,1,C
1533,C1,1,C
1534,C1,1,C
1535,C1,1,C
1536,C1,1,C
1537,C1,1,C
1538,C1,1,C
1539,C1,1,C
1540,C1,1,C
1541,C1,1,C
1542,C1,1,C
1543,C1,1,C
1544,C1,1,C
1545,C1,1,C
1546,C1,1,C
1547,C1,1,C
1548,C1,1,C
1549,C1,1,C
1550,C1,1,C
1551,C1,1,C
1552,C1,1,C
1553,C1,1,C
1554,C1,1,C
1555,C1,1,C
1556,C1,1,C
1557,C1,1,C
1558,C1,1,C
1559,C1,1,C
1560,C1,1,C
1561,C1,1,C
1562,C1,1,C
1563,C1,1,C
1564,C1,1,C
1565,C1,1,C
1566,C1,1,C
1567,C1,1,C
1568,C1,1,C
1569,C1,1,C
1570,C1,1,C
1571,C1,1,C
1572,C1,1,C
1573,C1,1,C
1574,C1,1,C
1575,C1,1,C
1576,C1,1,C
1577,C1,1,C
1578,C1,1,C
1579,C1,1,C
1580,C1,1,C
1581,C1,1,C
1582,C1,1,C
1583,C1,1,C
1584,C1,1,C
1585,C1,1,C
1586,C1,1,C
1587,C1,1,C
1588,C1,1,C
1589,C1,1,C
1590,C1,1,C
1591,C1,1,C
1592,C1,1,C
754,B1,1,B
1593,C1,1,C
1594,C1,1,C
1595,C1,1,C
1596,C1,1,C
1597,C1,1,C
1598,C1,1,C
1599,C1,1,C
1600,C1,1,C
1601,C1,1,C
1602,C1,1,C
1603,C1,1,C
1604,C1,1,C
1605,C1,1,C
1606,C1,1,C
1607,C1,1,C
1608,C1,1,C
1609,C1,1,C
1610,C1,1,C
1611,C1,1,C
1612,C1,1,C
1613,C1,1,C
1614,C1,1,C
1615,C1,1,C
1616,C1,1,C
1617,C1,1,C
1618,C1,1,C
1619,C1,1,C
1620,C1,1,C
1621,C1,1,C
1622,C1,1,C
1623,C1,1,C
1624,C1,1,C
1625,C1,1,C
1626,C1,1,C
1627,C1,1,C
1628,C1,1,C
1629,C1,1,C
1630,C1,1,C
1631,C1,1,C
1632,C1,1,C
1633,C1,1,C
1634,C1,1,C
1635,C1,1,C
1636,C1,1,C
1637,C1,1,C
1638,C1,1,C
1639,C1,1,C
1640,C1,1,C
1641,C1,1,C
1642,C1,1,C
1643,C1,1,C
1644,C1,1,C
1645,C1,1,C
