network,mean,std,model,removed,type,R50_who,group2,group,statlab,connectance,hosts,symbionts,links
cc,0.756902357,0.046025544,bleach,links,link,both,carib,carib,,0.067,31,36,75
cc,0.604848485,0.058363913,LT_BH,links,link,both,carib,carib,,0.067,31,36,75
cc,0.70249158,0.01535472,LT_BL,links,link,both,carib,carib,,0.067,31,36,75
cc,0.65333333,1.11E-16,LT_HL,links,link,both,carib,carib,,0.067,31,36,75
cc,0.686195286,0.024144208,LT_SL,links,link,both,carib,carib,,0.067,31,36,75
cc,0.68296296,0.03568439,Random_link,links,link,both,carib,carib,,0.067,31,36,75
cc,0.38459219,0.01640876,Degree_high,both,node,both,carib,carib,,0.067,31,36,75
cc,0.35052013,0.03247639,Degree_low,both,node,both,carib,carib,,0.067,31,36,75
cc,0.34373587,0.03832957,Random_node,both,node,both,carib,carib,,0.067,31,36,75
cc,0.304236394,0.012497743,Tolerance_low,both,node,both,carib,carib,,0.067,31,36,75
cc,0.780740741,0.049317578,bleach,links,link,hosts,carib,carib,,0.067,31,36,75
cc,0.654410774,0.078084285,LT_BH,links,link,hosts,carib,carib,,0.067,31,36,75
cc,0.72296296,0.02896218,LT_BL,links,link,hosts,carib,carib,,0.067,31,36,75
cc,0.6,1.11E-16,LT_HL,links,link,hosts,carib,carib,,0.067,31,36,75
cc,0.741144781,0.023211136,LT_SL,links,link,hosts,carib,carib,,0.067,31,36,75
cc,0.71097643,0.04455857,Random_link,links,link,hosts,carib,carib,,0.067,31,36,75
cc,0.667789,0.06676003,Degree_high,symbionts,node,hosts,carib,carib,,0.067,31,36,75
cc,0.83333333,2.22E-16,Degree_low,symbionts,node,hosts,carib,carib,,0.067,31,36,75
cc,0.69360269,0.10575285,Random_node,symbionts,node,hosts,carib,carib,,0.067,31,36,75
cc,0.61588103,0.04638718,Tolerance_low,symbionts,node,hosts,carib,carib,,0.067,31,36,75
cc,0.72,0.046071237,bleach,links,link,symbs,carib,carib,,0.067,31,36,75
cc,0.535488215,0.09744124,LT_BH,links,link,symbs,carib,carib,,0.067,31,36,75
cc,0.67299663,0.03531959,LT_BL,links,link,symbs,carib,carib,,0.067,31,36,75
cc,0.69333333,1.11E-16,LT_HL,links,link,symbs,carib,carib,,0.067,31,36,75
cc,0.603367003,0.041578007,LT_SL,links,link,symbs,carib,carib,,0.067,31,36,75
cc,0.64148148,0.05383231,Random_link,links,link,symbs,carib,carib,,0.067,31,36,75
cc,0.67350929,0.0703269,Degree_high,hosts,node,symbs,carib,carib,,0.067,31,36,75
cc,0.56402737,0.022631157,Degree_low,hosts,node,symbs,carib,carib,,0.067,31,36,75
cc,0.6018247,0.09835375,Random_node,hosts,node,symbs,carib,carib,,0.067,31,36,75
cc,0.5483871,1.11E-16,Tolerance_low,hosts,node,symbs,carib,carib,,0.067,31,36,75
ec,0.750142939,0.053925648,bleach,links,link,both,carib,carib,,0.066,40,40,106
ec,0.639889461,0.030282646,LT_BH,links,link,both,carib,carib,,0.066,40,40,106
ec,0.67886411,0.03590266,LT_BL,links,link,both,carib,carib,,0.066,40,40,106
ec,0.61320755,0,LT_HL,links,link,both,carib,carib,,0.066,40,40,106
