ID,degree,Host_Family,Host_Genus,Host_Sci_Name,Ocean,Region,T_MMM_05,host_tol
5,1,Acroporidae,Acropora,Acropora abrolhosensis,Pacific,Japan,28.53889,0.6448
9,1,Acroporidae,Acropora,Acropora aspera,Pacific,Japan,28.53889,0.5925
14,1,Acroporidae,Acropora,Acropora cerealis,Pacific,Japan,28.53889,0.5137
22,1,Acroporidae,Acropora,Acropora copiosa,Pacific,Japan,28.53889,0.6749
24,13,Acroporidae,Acropora,Acropora cytherea,Pacific,Central Pacific,27.6,0.5752
26,1,Acroporidae,Acropora,Acropora cytherea,Pacific,GBR,27.6,0.5752
31,1,Acroporidae,Acropora,Acropora digitifera,Pacific,Japan,28.53889,0.6816
35,2,Acroporidae,Acropora,Acropora donei,Pacific,Japan,28.53889,0.6729
37,1,Acroporidae,Acropora,Acropora exquisita,Pacific,Japan,28.53889,0.5445
41,1,Acroporidae,Acropora,Acropora florida,Pacific,Japan,28.53889,0.5431
43,1,Acroporidae,Acropora,Acropora formosa,Pacific,GBR,27.6,0.5073
44,2,Acroporidae,Acropora,Acropora gemmifera,Pacific,GBR,27.6,0.2893
52,3,Acroporidae,Acropora,Acropora humilis,Pacific,GBR,27.6,0.4886
71,10,Acroporidae,Acropora,Acropora nasuta,Pacific,Central Pacific,27.6,0.4106
72,3,Acroporidae,Acropora,Acropora nasuta,Pacific,GBR,27.62593,0.4106
75,2,Acroporidae,Acropora,Acropora nobilis,Pacific,Japan,28.53889,0.6576
77,1,Acroporidae,Acropora,Acropora palifera,Pacific,Japan,28.53889,0.4783
79,3,Acroporidae,Acropora,Acropora palifera,Pacific,GBR,27.62593,0.4783
86,1,Acroporidae,Acropora,Acropora polystoma,Pacific,GBR,27.62593,0.5993
107,1,Acroporidae,Acropora,Acropora subglabra,Pacific,Japan,28.53889,0.6425
114,1,Acroporidae,Acropora,Acropora tenuis,Pacific,Japan,28.53889,0.6215
