tolerance,type
0.566303805,symbiont
0.598832197,symbiont
0.607124369,symbiont
0.677864293,symbiont
0.297489496,symbiont
0.325883415,symbiont
0.397492138,symbiont
0.415331193,symbiont
0.486106984,symbiont
0.486929153,symbiont
0.515363949,symbiont
0.209523268,symbiont
0.229564806,symbiont
0.281069386,symbiont
0.281069386,symbiont
0.281069386,symbiont
0.281069386,symbiont
0.296310648,symbiont
0.297489496,symbiont
0.297489496,symbiont
0.320312348,symbiont
0.325883415,symbiont
0.338969025,symbiont
0.362904946,symbiont
0.421663373,symbiont
0.466047208,symbiont
0.468508271,symbiont
0.468508271,symbiont
0.479270279,symbiont
0.486929153,symbiont
0.486929153,symbiont
0.486929153,symbiont
0.486929153,symbiont
0.501996016,symbiont
0.508920426,symbiont
0.509705797,symbiont
0.540462765,symbiont
0.559464029,symbiont
0.562227712,symbiont
0.564535207,symbiont
0.575325995,symbiont
0.596322061,symbiont
0.597578447,symbiont
0.608522802,symbiont
0.613106842,symbiont
0.628569805,symbiont
0.628569805,symbiont
0.628569805,symbiont
0.628569805,symbiont
0.628569805,symbiont
0.628569805,symbiont
0.628569805,symbiont
0.628569805,symbiont
0.634428877,symbiont
0.743774159,symbiont
0.743774159,symbiont
0.743774159,symbiont
0.743774159,symbiont
0.795110055,symbiont
0.795110055,symbiont
0.843326746,symbiont
0.843326746,symbiont
0.419046537,symbiont
0.595063022,symbiont
0.661966767,symbiont
0.419298778,symbiont
0.72794412,symbiont
0.642702357,symbiont
0.6444325,symbiont
0.610715091,symbiont
0.231933483,symbiont
0.12760055,symbiont
0.208029189,symbiont
0.574920574,symbiont
0.459024736,symbiont
0.622080347,symbiont
0.451018021,symbiont
0.318061694,symbiont
0.351550749,symbiont
0.336599868,symbiont
0.366561756,symbiont
0.660890605,symbiont
0.764778442,symbiont
0.494304605,symbiont
0.567144252,symbiont
0.792913771,symbiont
0.641293872,symbiont
0.644396712,symbiont
0.343528695,symbiont
0.290498356,symbiont
0.71770422,symbiont
0.33087982,symbiont
0.687073746,symbiont
0.589822653,symbiont
0.53654838,symbiont
0.64073063,symbiont
0.870941623,symbiont
0.260417435,symbiont
0.535589462,symbiont
0.427301596,symbiont
0.519962307,symbiont
0.254089942,symbiont
0.554064428,symbiont
0.683931922,symbiont
0.286208202,symbiont
0.250083361,symbiont
0.687890787,symbiont
0.778094699,symbiont
0.322122827,symbiont
0.552410308,symbiont
0.625820522,symbiont
0.506278631,symbiont
0.30010657,symbiont
0.194790546,symbiont
0.412807245,symbiont
0.840982254,symbiont
0.267504063,symbiont
0.815635593,symbiont
0.26829065,symbiont
0.330715696,symbiont
0.548317288,symbiont
0.253001933,symbiont
0.83003621,symbiont
0.660284565,symbiont
0.602805818,symbiont
0.664416534,symbiont
0.484379564,symbiont
0.303134676,symbiont
0.669135171,symbiont
0.652503222,symbiont
0.46920463,symbiont
0.509879828,symbiont
0.58319035,symbiont
0.263502325,symbiont
0.237842676,symbiont
0.606023751,symbiont
0.631234852,symbiont
0.243268186,symbiont
0.505066727,symbiont
0.646014926,symbiont
0.719535411,symbiont
0.737449556,symbiont
0.230220105,symbiont
0.752132676,symbiont
0.754517539,symbiont
0.489434791,symbiont
0.22551642,symbiont
0.596039934,symbiont
0.558820954,symbiont
0.224657574,symbiont
0.842634726,symbiont
0.489200493,symbiont
0.645801895,symbiont
0.708285229,symbiont
0.34782235,symbiont
0.443225779,symbiont
0.307959532,symbiont
0.704748433,symbiont
0.331178979,symbiont
0.586280998,symbiont
0.796836932,symbiont
0.303167984,symbiont
0.295220117,symbiont
0.420797072,symbiont
0.972111915,symbiont
0.712877093,symbiont
0.527052866,symbiont
0.534314797,symbiont
0.276041547,symbiont
0.306300617,symbiont
0.706645616,symbiont
0.292633021,symbiont
0.319459153,symbiont
0.256480968,symbiont
0.442561265,symbiont
0.269875584,symbiont
0.272777519,symbiont
0.34395931,symbiont
0.923772135,symbiont
0.743035981,symbiont
0.528804547,symbiont
0.545712822,symbiont
0.432132775,symbiont
0.25025426,symbiont
0.551278441,symbiont
0.365105929,symbiont
0.283615706,symbiont
0.32823299,symbiont
0.270688715,symbiont
0.247689683,symbiont
0.553305595,symbiont
0.719361945,symbiont
0.27535622,symbiont
0.373639959,symbiont
0.435087691,symbiont
0.656958724,symbiont
0.5519723,symbiont
0.382216494,symbiont
0.269531218,symbiont
0.238849582,symbiont
0.804280397,symbiont
0.702258009,symbiont
0.716913133,symbiont
0.254784332,symbiont
0.270760431,symbiont
0.267323514,symbiont
0.302899149,symbiont
0.623306638,symbiont
0.341152769,symbiont
0.618410401,symbiont
0.751353537,symbiont
0.654152534,symbiont
0.314022226,symbiont
0.749326688,symbiont
0.475423095,symbiont
0.50181501,symbiont
0.786135549,symbiont
0.419453416,symbiont
0.291834317,symbiont
0.336481041,symbiont
0.785584594,symbiont
0.55531122,symbiont
0.174271714,symbiont
0.254989946,symbiont
0.272471639,symbiont
0.288863765,symbiont
0.603492406,symbiont
0.654604936,symbiont
0.490712863,symbiont
0.543842641,symbiont
0.543970276,symbiont
0.240282132,symbiont
0.730005493,symbiont
0.686504706,symbiont
0.303768354,symbiont
0.254216367,symbiont
0.356483106,symbiont
0.665833576,symbiont
0.607865286,symbiont
0.214450344,symbiont
0.232488563,symbiont
0.276929902,symbiont
0.243621978,symbiont
0.717467983,symbiont
0.239895951,symbiont
0.758170247,symbiont
0.837204109,symbiont
0.643267816,symbiont
0.65817038,symbiont
0.211953946,symbiont
0.5786,host
0.5786,host
0.6554,host
0.6791,host
0.6448,host
0.8231,host
0.642,host
0.5925,host
0.5925,host
0.7674,host
0.7674,host
0.5137,host
0.5137,host
0.5137,host
0.6807,host
0.6807,host
0.6807,host
0.6807,host
0.6807,host
0.6701,host
0.6701,host
0.6749,host
0.5752,host
0.5752,host
0.5752,host
0.5752,host
0.6421,host
0.8,host
0.6816,host
0.6816,host
0.6816,host
0.7394,host
0.7394,host
0.7394,host
0.6729,host
0.7457,host
0.5445,host
0.5431,host
0.5431,host
0.5431,host
0.5431,host
0.5073,host
0.5073,host
0.2893,host
0.2893,host
0.2893,host
0.7565,host
0.7577,host
0.7577,host
0.6626,host
0.806,host
0.4886,host
0.4886,host
0.6429,host
0.6429,host
0.7473,host
0.7473,host
0.7473,host
0.8154,host
0.7412,host
0.9062,host
0.9062,host
0.8627,host
0.7826,host
0.9274,host
0.9274,host
0.6581,host
0.6581,host
0.5477,host
0.5477,host
0.4106,host
0.4106,host
0.4106,host
0.6576,host
0.6576,host
0.6576,host
0.4783,host
0.4783,host
0.4783,host
0.7418,host
0.7418,host
0.7418,host
0.7418,host
0.7418,host
0.8718,host
0.5993,host
0.5638,host
0.6723,host
0.6396,host
0.5621,host
0.8846,host
0.8846,host
0.8781,host
0.6897,host
0.6897,host
0.6897,host
0.6897,host
0.8769,host
0.7012,host
0.7012,host
0.6083,host
0.6083,host
0.6083,host
0.6083,host
0.6083,host
0.7052,host
0.6425,host
0.7043,host
0.7043,host
0.7043,host
0.6215,host
0.6215,host
0.6215,host
0.6215,host
0.6311,host
0.8365,host
0.8365,host
0.8365,host
0.8365,host
0.5879,host
0.8404,host
0.6649,host
0.6649,host
0.6649,host
0.9267,host
0.9267,host
0.9267,host
0.89,host
0.89,host
0.89,host
0.7446,host
0.6776,host
0.6776,host
0.6792,host
0.6792,host
0.9725,host
0.7555,host
0.7469,host
0.7469,host
0.7469,host
0.9725,host
0.9725,host
0.9725,host
0.9725,host
0.93125,host
0.6448,host
0.9545,host
0.9725,host
0.6404,host
0.6406,host
0.8203,host
0.8203,host
0.8203,host
0.8203,host
0.8203,host
0.8203,host
0.8203,host
0.9349,host
0.9349,host
0.6357,host
0.92,host
0.609,host
0.7095,host
0.6287,host
0.735,host
0.735,host
0.6848,host
0.99,host
0.6233,host
0.6728,host
0.7,host
0.99,host
0.9921,host
0.7094,host
0.9346,host
0.945,host
0.136,host
0.136,host
0.7825,host
0.7825,host
0.7825,host
0.5462,host
0.5462,host
0.5462,host
0.8975,host
0.8975,host
0.8975,host
0.8975,host
0.8975,host
0.8006,host
0.8006,host
0.8006,host
0.6579,host
0.8251,host
0.8251,host
0.8251,host
0.8251,host
0.8772,host
0.8772,host
0.8772,host
0.8772,host
0.8267,host
0.8267,host
0.8267,host
0.8243,host
0.8243,host
0.8243,host
0.8243,host
0.8243,host
0.8944,host
0.8944,host
0.8944,host
0.9026,host
0.9026,host
0.8973,host
0.99,host
0.8887,host
0.6844,host
0.6844,host
0.6844,host
0.7633,host
0.7633,host
0.9921,host
0.9921,host
0.9113,host
0.9113,host
0.9113,host
0.9113,host
0.9113,host
0.8084,host
0.714,host
0.8613,host
0.8624,host
0.8624,host
0.9725,host
0.9725,host
0.9725,host
0.8587,host
0.8587,host
0.8587,host
0.8587,host
0.5843,host
0.5843,host
0.6579,host
0.6579,host
0.6579,host
0.6579,host
0.6579,host
0.6521,host
0.7433,host
0.6016,host
0.6016,host
0.7403,host
0.6775,host
0.7224,host
0.7224,host
0.7959,host
0.7959,host
0.7959,host
0.7397,host
0.7397,host
0.7397,host
0.7397,host
0.5063,host
0.7972,host
0.7434,host
0.7434,host
0.7434,host
0.7434,host
0.8393,host
0.7293,host
0.7159,host
0.8511,host
0.6151,host
0.8815,host
0.8815,host
0.9225,host
0.9225,host
0.8479,host
0.8479,host
0.8479,host
0.7814,host
0.7814,host
0.7814,host
0.8808,host
0.8041,host
0.8041,host
0.9135,host
0.831,host
0.831,host
0.831,host
0.8825,host
0.8825,host
0.8825,host
0.7015,host
0.5241,host
0.5241,host
0.5241,host
0.7457,host
0.7457,host
0.7457,host
0.7457,host
0.7457,host
0.7149,host
0.6791,host
0.7669,host
0.7669,host
0.7669,host
0.6893,host
0.6893,host
0.6893,host
0.6893,host
0.772,host
0.772,host
0.7154,host
0.4309,host
0.4309,host
0.8505,host
0.8505,host
0.8505,host
0.5312,host
0.5312,host
0.7232,host
0.4315,host
0.4315,host
0.7069,host
0.6317,host
0.6317,host
0.7698,host
0.7698,host
0.90026,host
0.7863,host
0.7214,host
0.7214,host
0.6071,host
0.99,host
0.99,host
0.4979,host
0.6993,host
0.6993,host
0.6993,host
0.6993,host
0.8978,host
0.8978,host
0.7438,host
0.7438,host
0.7438,host
0.9725,host
0.9725,host
0.9725,host
0.9725,host
0.793,host
0.9285,host
0.9285,host
0.8427,host
0.8427,host
0.8427,host
0.8317,host
0.8317,host
0.5399,host
0.5399,host
0.89,host
0.89,host
0.753,host
0.9124,host
0.4608,host
0.4608,host
0.7852,host
0.8074,host
0.9367,host
0.9367,host
0.5717,host
0.4958,host
0.4958,host
0.4958,host
0.4958,host
0.96,host
0.6013,host
0.6013,host
0.894,host
0.9734,host
0.9734,host
0.9734,host
0.9725,host
0.9725,host
0.9725,host
0.9398,host
0.9398,host
0.9725,host
0.9725,host
0.9725,host
0.8994,host
0.8994,host
0.8994,host
0.8994,host
0.8994,host
0.9725,host
0.9725,host
0.8361,host
0.8361,host
0.8361,host
0.8361,host
0.4136,host
0.4136,host
0.4136,host
0.9091,host
0.9091,host
0.8111,host
0.8111,host
0.8111,host
0.8111,host
0.8111,host
0.7243,host
0.8558,host
0.8558,host
0.8558,host
0.8558,host
0.8508,host
0.8508,host
0.7804,host
0.7804,host
0.7804,host
0.7804,host
0.7804,host
0.7804,host
0.8263,host
0.8263,host
0.8263,host
0.8263,host
0.8263,host
0.7864,host
0.7913,host
0.7913,host
0.7623,host
0.7623,host
0.8439,host
0.8439,host
0.6643,host
0.6021,host
0.8625,host
0.8625,host
0.2735,host
0.8148,host
0.8148,host
0.8148,host
0.7305,host
0.7305,host
0.7007,host
0.615,host
0.8058,host
0.7138,host
0.3842,host
0.4754,host
0.4754,host
0.4754,host
0.6857,host
0.6857,host
0.8625,host
0.8625,host
0.5468,host
0.6519,host
0.6519,host
0.6519,host
0.6519,host
0.699141667,host
0.7057,host
0.7057,host
0.6564,host
0.5655,host
0.8362,host
0.9725,host
0.9725,host
0.89,host
0.89,host
0.89,host
0.89,host
0.8438,host
0.8615,host
0.8615,host
0.8615,host
0.8923,host
0.9363,host
0.8943,host
0.89,host
0.89,host
0.89,host
0.89,host
0.89,host
0.9725,host
0.9065,host
0.9065,host
0.9065,host
0.99,host
0.7757,host
0.7757,host
0.9528,host
0.9528,host
0.9306,host
0.9306,host
0.9306,host
0.9528,host
0.7828,host
0.7828,host
0.7828,host
0.7828,host
0.668,host
0.668,host
0.6072,host
0.6072,host
0.6072,host
0.6072,host
0.945,host
0.685,host
0.9457,host
0.524,host
0.524,host
0.524,host
0.9659,host
0.9659,host
0.9659,host
0.6314,host
0.9607,host
0.9607,host
0.3675,host
0.7615,host
0.7615,host
0.7615,host
0.7615,host
0.7615,host
0.7615,host
0.8602,host
0.5692,host
0.9631,host
0.3119,host
0.5476,host
0.285,host
0.285,host
0.488,host
0.5464,host
0.5464,host
0.5464,host
0.5812,host
0.6041,host
0.6041,host
0.6201,host
0.6201,host
0.6168,host
0.6168,host
0.8568,host
0.5995,host
0.5995,host
0.6443,host
0.6443,host
